0x8000380	AgbMain
0x8000474	UpdateLinkAndCallCallbacks
0x80004BC	InitMainCallbacks
0x80004DC	CallCallbacks
0x8000500	SetMainCallback2
0x8000518	SeedRngWithRtc
0x8000534	InitKeys
0x800055C	ReadKeys
0x80005F8	InitIntrHandlers
0x8000674	SetVBlankCallback
0x8000680	SetHBlankCallback
0x800068C	SetVCountCallback
0x8000698	SetSerialCallback
0x80006A4	VBlankIntr
0x8000720	InitFlashTimer
0x8000734	HBlankIntr
0x8000764	VCountIntr
0x8000794	SerialIntr
0x80007C4	IntrDummy
0x80007C8	WaitForVBlank
0x80007E8	DoSoftReset
0x8000858	ClearPokemonCrySongs
0x800087C	ResetSpriteData
0x80008C8	AnimateSprites
0x8000914	BuildOamBuffer
0x8000960	UpdateOamCoords
0x8000A24	BuildSpritePriorities
0x8000A64	SortSprites
0x8000C24	CopyMatricesToOamBuffer
0x8000C78	AddSpritesToOamBuffer
0x8000D10	CreateSprite
0x8000D64	CreateSpriteAtEnd
0x8000DD0	CreateInvisibleSprite
0x8000E18	CreateSpriteAt
0x8000F70	CreateSpriteAndAnimate
0x8001004	DestroySprite
0x800106C	ResetOamRange
0x80010A4	LoadOam
0x80010D4	ClearSpriteCopyRequests
0x8001114	ResetOamMatrices
0x8001140	SetOamMatrix
0x8001160	ResetSprite
0x8001174	CalcCenterToCornerVec
0x80011B8	AllocSpriteTiles
0x80012D4	SpriteTileAllocBitmapOp
0x8001344	SpriteCallbackDummy
0x8001348	ProcessSpriteCopyRequests
0x80013A4	RequestSpriteFrameImageCopy
0x8001414	RequestSpriteCopy
0x8001470	CopyFromSprites
0x8001498	CopyToSprites
0x80014C0	ResetAllSprites
0x8001500	FreeSpriteTiles
0x800151C	FreeSpritePalette
0x800152C	FreeSpriteOamMatrix
0x8001558	DestroySpriteAndFreeResources
0x8001578	sub_800142C
0x8001648	AnimateSprite
0x8001690	BeginAnim
0x8001780	ContinueAnim
0x8001820	AnimCmd_frame
0x80018CC	AnimCmd_end
0x80018E4	AnimCmd_jump
0x80019AC	AnimCmd_loop
0x80019CC	BeginAnimLoop
0x8001A04	ContinueAnimLoop
0x8001A24	JumpToTopOfAnimLoop
0x8001A98	BeginAffineAnim
0x8001B14	ContinueAffineAnim
0x8001BAC	AffineAnimDelay
0x8001BE0	AffineAnimCmd_loop
0x8001C14	BeginAffineAnimLoop
0x8001C50	ContinueAffineAnimLoop
0x8001C80	JumpToTopOfAffineAnimLoop
0x8001CEC	AffineAnimCmd_jump
0x8001D38	AffineAnimCmd_end
0x8001D74	AffineAnimCmd_frame
0x8001DAC	CopyOamMatrix
0x8001DCC	GetSpriteMatrixNum
0x8001DEC	SetSpriteOamFlipBits
0x8001E60	AffineAnimStateRestartAnim
0x8001E7C	AffineAnimStateStartAnim
0x8001EA4	AffineAnimStateReset
0x8001ECC	ApplyAffineAnimFrameAbsolute
0x8001EF0	DecrementAnimDelayCounter
0x8001F18	DecrementAffineAnimDelayCounter
0x8001F48	ApplyAffineAnimFrameRelativeAndUpdateMatrix
0x8001FE0	ConvertScaleParam
0x8001FF8	GetAffineAnimFrame
0x8002064	ApplyAffineAnimFrame
0x80020A4	StartSpriteAnim
0x80020BC	StartSpriteAnimIfDifferent
0x80020D8	SeekSpriteAnim
0x8002154	StartSpriteAffineAnim
0x8002180	StartSpriteAffineAnimIfDifferent
0x80021B4	ChangeSpriteAffineAnim
0x80021EC	ChangeSpriteAffineAnimIfDifferent
0x8002220	SetSpriteSheetFrameTileNum
0x8002278	ResetAffineAnimData
0x80022AC	AllocOamMatrix
0x80022E4	FreeOamMatrix
0x8002324	InitSpriteAffineAnim
0x8002374	SetOamMatrixRotationScaling
0x80023F4	LoadSpriteSheet
0x8002438	LoadSpriteSheets
0x8002464	AllocTilesForSpriteSheet
0x8002490	AllocTilesForSpriteSheets
0x80024BC	LoadTilesForSpriteSheet
0x80024E8	LoadTilesForSpriteSheets
0x8002514	FreeSpriteTilesByTag
0x800258C	FreeSpriteTileRanges
0x80025CC	GetSpriteTileStartByTag
0x80025F8	IndexOfSpriteTileTag
0x8002624	GetSpriteTileTagByTileStart
0x8002670	AllocSpriteTileRange
0x80026B8	RequestSpriteSheetCopy
0x80026E0	LoadSpriteSheetDeferred
0x8002714	FreeAllSpritePalettes
0x800274C	LoadSpritePalette
0x8002798	LoadSpritePalettes
0x80027C4	DoLoadSpritePalette
0x80027DC	AllocSpritePalette
0x800280C	IndexOfSpritePaletteTag
0x8002844	GetSpritePaletteTagByPaletteNum
0x8002854	FreeSpritePaletteByTag
0x800287C	SetSubspriteTables
0x8002888	AddSpriteToOamBuffer
0x80028F4	AddSubspritesToOamBuffer
0x8002AF8	UpdateBGRegs
0x8002B34	ClearBGMem
0x8002B68	LoadFontDefaultPalette
0x8002B80	SetUpWindowConfig
0x8002B9C	InitWindowTileData
0x8002C24	InitVariableWidthFontTileData
0x8002C78	LoadFixedWidthFont
0x8002CA4	LoadFixedWidthFont_Font1Latin
0x8002CD8	LoadFixedWidthFont_Font4Latin
0x8002D14	LoadFixedWidthFont_Braille
0x8002D48	MultistepInitWindowTileData
0x8002DA0	MultistepLoadFont
0x8002E04	MultistepLoadFont_LoadGlyph
0x8002E9C	EmptyFunc
0x8002EA0	InitWindowFromConfig
0x8002F0C	InitWindow
0x8002F98	sub_8002E4C
0x8002FDC	sub_8002E90
0x8002FFC	sub_8002EB0
0x8003090	sub_8002F44
0x80030EC	sub_8002FA0
0x800312C	InterpretText
0x80031CC	HandleExtCtrlCode
0x80031F8	ExtCtrlCode_Nop
0x80031FC	ExtCtrlCode_ForegroundColor
0x8003218	ExtCtrlCode_BackgroundColor
0x8003234	ExtCtrlCode_ShadowColor
0x8003250	ExtCtrlCode_AllColors
0x80032A0	ExtCtrlCode_Palette
0x80032B8	ExtCtrlCode_Font
0x80032D0	ExtCtrlCode_DefaultFont
0x80032DC	ExtCtrlCode_Pause
0x8003304	ExtCtrlCode_WaitButton
0x8003318	ExtCtrlCode_WaitSound
0x800332C	ExtCtrlCode_PlayBGM
0x800335C	ExtCtrlCode_Escape
0x8003388	ExtCtrlCode_Nop2
0x800338C	ExtCtrlCode_SetCursorY
0x80033B8	ExtCtrlCode_ClearWindowTextLines
0x80033C4	ExtCtrlCode_PlaySE
0x80033F4	DrawSpace
0x8003490	sub_8003344
0x80034D4	ExtCtrlCode_Skip
0x80034F8	ExtCtrlCode_SetCursorX
0x8003520	ExtCtrlCode_SkipTo
0x800353C	ExtCtrlCode_Spacing
0x8003554	ExtCtrlCode_Japanese
0x800355C	ExtCtrlCode_Latin
0x8003564	sub_8003418
0x80035AC	sub_8003460
0x80035DC	sub_8003490
0x8003620	sub_80034D4
0x8003638	sub_80034EC
0x8003650	sub_8003504
0x80036A4	sub_8003558
0x80036F8	sub_80035AC
0x8003710	UpdateWindowText
0x8003898	sub_800374C
0x80038C4	sub_8003778
0x80038EC	sub_80037A0
0x8003914	sub_80037C8
0x800393C	PrintGlyph_TextMode0
0x8003964	DrawGlyph_TextMode0
0x8003990	PrintGlyph_TextMode1
0x80039B4	WriteGlyphTilemap_Font0_Font3
0x80039D0	WriteGlyphTilemap_Font1_Font4
0x80039FC	WriteGlyphTilemap_Font2_Font5
0x8003A18	WriteGlyphTilemap_Font6
0x8003A44	PrintGlyph_TextMode2
0x8003A78	DrawGlyph_TextMode2
0x8003AA0	LoadFixedWidthGlyph
0x8003B38	WriteGlyphTilemap
0x8003B68	GetGlyphTilePointers
0x8003C44	GetCursorTilemapPointer
0x8003C7C	ApplyColors_UnshadowedFont
0x8003D18	ApplyColors_ShadowedFont
0x8003DEC	SetCursorX
0x8003E14	AddToCursorX
0x8003E50	AddToCursorY
0x8003E7C	EraseAtCursor
0x8003EBC	ClipLeft
0x8003F98	ClipRight
0x8004088	InitColors
